
INSERT INTO jugador VALUES(10000, 'Mario', 'Argul', 'Acosta', TO_DATE('1983-8-2', 'YYYY-MM-DD'),1, 'PORTERO','0');
INSERT INTO jugador VALUES(10031, 'Evan', 'Gioia', 'Benavidez', TO_DATE('1996-3-13', 'YYYY-MM-DD'),9, 'DELANTERO','1');
INSERT INTO jugador VALUES(10032, 'Marco', 'Proserpio', 'Otero', TO_DATE('1985-10-19', 'YYYY-MM-DD'),10, 'DELANTERO','1');
INSERT INTO jugador VALUES(10033, 'Sean', 'Bersarian', 'Migliaro', TO_DATE('1994-2-18', 'YYYY-MM-DD'),11, 'DELANTERO','1');
INSERT INTO jugador VALUES(10034, 'Yordani', 'Mendoza', 'Silva', TO_DATE('1989-7-23', 'YYYY-MM-DD'),12, 'DEFENSA','1');
INSERT INTO jugador VALUES(10035, 'Carlos', 'Pascale', 'Galain', TO_DATE('1988-8-24', 'YYYY-MM-DD'),13, 'DELANTERO','1');
INSERT INTO jugador VALUES(10036, 'Brais', 'Simoncelli', 'Paolino', TO_DATE('1995-7-13', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','1');
INSERT INTO jugador VALUES(10037, 'Yannick', 'Sena', 'Falco', TO_DATE('1997-3-13', 'YYYY-MM-DD'),15, 'DELANTERO','1');
INSERT INTO jugador VALUES(10038, 'Bastian', 'Rosa', 'Ortiz', TO_DATE('1989-1-3', 'YYYY-MM-DD'),16, 'MEDIOCAMPISTA','1');
INSERT INTO jugador VALUES(10039, 'Romeo', 'Hernandez', 'Barañano', TO_DATE('1996-4-3', 'YYYY-MM-DD'),17, 'DELANTERO','1');
INSERT INTO jugador VALUES(10040, 'Edgar', 'Cano', 'Oyarvide', TO_DATE('1990-1-17', 'YYYY-MM-DD'),18, 'PORTERO','1');
INSERT INTO jugador VALUES(10041, 'Barad', 'Rodriguez', 'Echavarria', TO_DATE('1997-9-3', 'YYYY-MM-DD'),19, 'MEDIOCAMPISTA','1');
INSERT INTO jugador VALUES(10042, 'Jano', 'Bonomi', 'Rojlin', TO_DATE('1986-10-5', 'YYYY-MM-DD'),20, 'MEDIOCAMPISTA','1');
INSERT INTO jugador VALUES(10043, 'Yordani', 'Lombardo', 'Ivanchenko', TO_DATE('1990-7-21', 'YYYY-MM-DD'),21, 'MEDIOCAMPISTA','1');
INSERT INTO jugador VALUES(10044, 'Noah', 'Casanova', 'Figueroa', TO_DATE('1996-8-18', 'YYYY-MM-DD'),22, 'DEFENSA','1');
INSERT INTO jugador VALUES(10045, 'Elroy', 'Peregalli', 'Santellano', TO_DATE('1993-1-21', 'YYYY-MM-DD'),23, 'PORTERO','1');
INSERT INTO jugador VALUES(10046, 'Brais', 'Zubiaurre', 'Rodriguez', TO_DATE('1995-10-14', 'YYYY-MM-DD'),1, 'PORTERO','2');
INSERT INTO jugador VALUES(10047, 'Joel', 'Obispo', 'Villoz', TO_DATE('1993-8-27', 'YYYY-MM-DD'),2, 'DEFENSA','2');
INSERT INTO jugador VALUES(10048, 'Sean', 'Proserpio', 'Sayago', TO_DATE('1983-1-11', 'YYYY-MM-DD'),3, 'DEFENSA','2');
INSERT INTO jugador VALUES(10049, 'Cristian', 'Pradere', 'Sepulveda', TO_DATE('1984-1-19', 'YYYY-MM-DD'),4, 'DEFENSA','2');
INSERT INTO jugador VALUES(10050, 'Thiago', 'Giuliani', 'Vazquez', TO_DATE('1984-10-26', 'YYYY-MM-DD'),5, 'DEFENSA','2');
INSERT INTO jugador VALUES(10051, 'Gabriel', 'Dahlquist', 'Gioia', TO_DATE('1984-7-8', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','2');
INSERT INTO jugador VALUES(10052, 'Guim', 'Behrens', 'Hernandez', TO_DATE('1986-8-12', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','2');
INSERT INTO jugador VALUES(10053, 'Iol', 'Repetto', 'Gutierrez', TO_DATE('1986-11-9', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','2');
INSERT INTO jugador VALUES(10054, 'Diego', 'Machin', 'Vellozo', TO_DATE('1995-5-15', 'YYYY-MM-DD'),9, 'DELANTERO','2');
INSERT INTO jugador VALUES(10055, 'Roberto', 'Tarrago', 'Martinato', TO_DATE('1983-7-5', 'YYYY-MM-DD'),10, 'DELANTERO','2');
INSERT INTO jugador VALUES(10056, 'Ricardo', 'Alvarez', 'Bonsignore', TO_DATE('1987-2-10', 'YYYY-MM-DD'),11, 'DELANTERO','2');
INSERT INTO jugador VALUES(10057, 'Ángel', 'Quiros', 'Herran', TO_DATE('1988-7-7', 'YYYY-MM-DD'),12, 'DELANTERO','2');
INSERT INTO jugador VALUES(10058, 'Dylan', 'Iglesisas', 'Rey', TO_DATE('1983-10-20', 'YYYY-MM-DD'),13, 'DEFENSA','2');
INSERT INTO jugador VALUES(10059, 'Emiliano', 'Garrido', 'Martinez', TO_DATE('1988-9-9', 'YYYY-MM-DD'),14, 'DEFENSA','2');
INSERT INTO jugador VALUES(10060, 'Saúl', 'Dovat', 'Bounous', TO_DATE('1986-12-1', 'YYYY-MM-DD'),15, 'MEDIOCAMPISTA','2');
INSERT INTO jugador VALUES(10061, 'Diego', 'Silva', 'Chavez', TO_DATE('1989-3-2', 'YYYY-MM-DD'),16, 'DELANTERO','2');
INSERT INTO jugador VALUES(10062, 'Brais', 'Rocci', 'Machado', TO_DATE('1990-11-15', 'YYYY-MM-DD'),17, 'DELANTERO','2');
INSERT INTO jugador VALUES(10063, 'Jerald', 'Martinez', 'Calvo', TO_DATE('1995-10-7', 'YYYY-MM-DD'),18, 'DELANTERO','2');
INSERT INTO jugador VALUES(10064, 'Romeo', 'Del signore', 'Moreira', TO_DATE('1989-11-10', 'YYYY-MM-DD'),19, 'PORTERO','2');
INSERT INTO jugador VALUES(10065, 'Diego', 'Puente', 'Castillo', TO_DATE('1993-5-5', 'YYYY-MM-DD'),20, 'DEFENSA','2');
INSERT INTO jugador VALUES(10066, 'Andry', 'Mendez', 'Gomez', TO_DATE('1992-12-25', 'YYYY-MM-DD'),21, 'MEDIOCAMPISTA','2');
INSERT INTO jugador VALUES(10067, 'Romeo', 'Valerio', 'Blengio', TO_DATE('1983-6-6', 'YYYY-MM-DD'),22, 'PORTERO','2');
INSERT INTO jugador VALUES(10068, 'Ciro', 'Ceretta', 'Rodriguez', TO_DATE('1983-4-18', 'YYYY-MM-DD'),23, 'DELANTERO','2');
INSERT INTO jugador VALUES(10069, 'Bastian', 'Dutruel', 'Pastorini', TO_DATE('1996-7-8', 'YYYY-MM-DD'),1, 'PORTERO','3');
INSERT INTO jugador VALUES(10070, 'Izan', 'Medina', 'Gomez', TO_DATE('1989-8-9', 'YYYY-MM-DD'),2, 'DEFENSA','3');
INSERT INTO jugador VALUES(10071, 'Yordani', 'Zubiaurre', 'Christiansen', TO_DATE('1996-7-1', 'YYYY-MM-DD'),3, 'DEFENSA','3');
INSERT INTO jugador VALUES(10072, 'Edgar', 'Salvide', 'Marzaroli', TO_DATE('1993-4-12', 'YYYY-MM-DD'),4, 'DEFENSA','3');
INSERT INTO jugador VALUES(10073, 'Alain', 'Da trindade', 'Nicolella', TO_DATE('1996-5-21', 'YYYY-MM-DD'),5, 'DEFENSA','3');
INSERT INTO jugador VALUES(10074, 'Mateo', 'Alvarez', 'Ogliarusso', TO_DATE('1990-10-14', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','3');
INSERT INTO jugador VALUES(10075, 'Guim', 'Luzardo', 'Teske', TO_DATE('1993-10-11', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','3');
INSERT INTO jugador VALUES(10076, 'Nil', 'Gonzalez', 'Silvestri', TO_DATE('1991-11-1', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','3');
INSERT INTO jugador VALUES(10077, 'Guido', 'Gonzalez', 'Rodriguez', TO_DATE('1994-10-20', 'YYYY-MM-DD'),9, 'DELANTERO','3');
INSERT INTO jugador VALUES(10078, 'Ángel', 'Rodriguez', 'Luzardo', TO_DATE('1988-7-17', 'YYYY-MM-DD'),10, 'DELANTERO','3');
INSERT INTO jugador VALUES(10079, 'Roberto', 'Sorondo', 'Almeida', TO_DATE('1987-8-7', 'YYYY-MM-DD'),11, 'DELANTERO','3');
INSERT INTO jugador VALUES(10080, 'Areu', 'Clivio', 'Diaz', TO_DATE('1997-10-1', 'YYYY-MM-DD'),12, 'DEFENSA','3');
INSERT INTO jugador VALUES(10081, 'Ciro', 'Silveira', 'Gamboa', TO_DATE('1991-6-5', 'YYYY-MM-DD'),13, 'DELANTERO','3');
INSERT INTO jugador VALUES(10082, 'Trevor', 'Gonzalez', 'Rodriguez', TO_DATE('1986-11-5', 'YYYY-MM-DD'),14, 'PORTERO','3');
INSERT INTO jugador VALUES(10083, 'Yannick', 'Pesce', 'Etchebarne', TO_DATE('1992-10-8', 'YYYY-MM-DD'),15, 'MEDIOCAMPISTA','3');
INSERT INTO jugador VALUES(10084, 'Marco', 'Olivera', 'Casanova', TO_DATE('1983-10-26', 'YYYY-MM-DD'),16, 'PORTERO','3');
INSERT INTO jugador VALUES(10085, 'Ezequiel', 'Bordolli', 'Beyhaut', TO_DATE('1990-10-15', 'YYYY-MM-DD'),17, 'PORTERO','3');
INSERT INTO jugador VALUES(10086, 'Jerald', 'Beraza', 'Cesconi', TO_DATE('1988-7-25', 'YYYY-MM-DD'),18, 'DELANTERO','3');
INSERT INTO jugador VALUES(10087, 'Dylan', 'Fernandez', 'Solari', TO_DATE('1994-12-19', 'YYYY-MM-DD'),19, 'MEDIOCAMPISTA','3');
INSERT INTO jugador VALUES(10088, 'Juan', 'Machado', 'Rivero', TO_DATE('1987-4-3', 'YYYY-MM-DD'),20, 'DEFENSA','3');
INSERT INTO jugador VALUES(10089, 'Mario', 'Lembo', 'Martinez', TO_DATE('1993-9-12', 'YYYY-MM-DD'),21, 'DEFENSA','3');
INSERT INTO jugador VALUES(10090, 'Marco', 'Ferreira', 'Pongibove', TO_DATE('1984-5-19', 'YYYY-MM-DD'),22, 'PORTERO','3');
INSERT INTO jugador VALUES(10091, 'Cristian', 'Argul', 'Goldschmidt', TO_DATE('1984-1-21', 'YYYY-MM-DD'),23, 'PORTERO','3');
INSERT INTO jugador VALUES(10092, 'Elián', 'Palermo', 'Barañano', TO_DATE('1987-9-10', 'YYYY-MM-DD'),1, 'PORTERO','4');
INSERT INTO jugador VALUES(10093, 'Diego', 'Golovchenko', 'Cesar', TO_DATE('1989-4-25', 'YYYY-MM-DD'),2, 'DEFENSA','4');
INSERT INTO jugador VALUES(10094, 'Joel', 'Lucas', 'Perez', TO_DATE('1990-7-7', 'YYYY-MM-DD'),3, 'DEFENSA','4');
INSERT INTO jugador VALUES(10095, 'Eros', 'Olivera', 'Lopez', TO_DATE('1997-8-26', 'YYYY-MM-DD'),4, 'DEFENSA','4');
INSERT INTO jugador VALUES(10096, 'Nil', 'Cutinella', 'De los santos', TO_DATE('1996-8-6', 'YYYY-MM-DD'),5, 'DEFENSA','4');
INSERT INTO jugador VALUES(10097, 'Irvin', 'Crespo', 'Craviolo', TO_DATE('1993-7-15', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','4');
INSERT INTO jugador VALUES(10098, 'Ezequiel', 'Bersarian', 'Sposito', TO_DATE('1995-3-20', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','4');
INSERT INTO jugador VALUES(10099, 'Noel', 'Aboal', 'Livia', TO_DATE('1983-7-15', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','4');
INSERT INTO jugador VALUES(10100, 'Noel', 'Martinez', 'Machado', TO_DATE('1993-6-22', 'YYYY-MM-DD'),9, 'DELANTERO','4');
INSERT INTO jugador VALUES(10101, 'Gabriel', 'Cancela', 'Iguini', TO_DATE('1988-4-12', 'YYYY-MM-DD'),10, 'DELANTERO','4');
INSERT INTO jugador VALUES(10102, 'Elián', 'Ferreyra', 'Ungo', TO_DATE('1986-5-23', 'YYYY-MM-DD'),11, 'DELANTERO','4');
INSERT INTO jugador VALUES(10103, 'Miguel', 'Cobelli', 'Martinez', TO_DATE('1983-6-6', 'YYYY-MM-DD'),12, 'MEDIOCAMPISTA','4');
INSERT INTO jugador VALUES(10104, 'Andry', 'Duarte', 'Parada', TO_DATE('1987-2-28', 'YYYY-MM-DD'),13, 'DEFENSA','4');
INSERT INTO jugador VALUES(10105, 'Yael', 'Balbuena', 'Sastre', TO_DATE('1993-11-16', 'YYYY-MM-DD'),14, 'DELANTERO','4');
INSERT INTO jugador VALUES(10106, 'Habacuc', 'Goro', 'Rodriguez', TO_DATE('1988-11-19', 'YYYY-MM-DD'),15, 'PORTERO','4');
INSERT INTO jugador VALUES(10107, 'Emiliano', 'Silva', 'Garcia', TO_DATE('1986-9-14', 'YYYY-MM-DD'),16, 'PORTERO','4');
INSERT INTO jugador VALUES(10108, 'Yannick', 'Fresco', 'Gonzalez', TO_DATE('1994-8-23', 'YYYY-MM-DD'),17, 'DELANTERO','4');
INSERT INTO jugador VALUES(10109, 'Diego', 'Balcedo', 'Alvarez', TO_DATE('1997-6-22', 'YYYY-MM-DD'),18, 'DELANTERO','4');
INSERT INTO jugador VALUES(10110, 'Mateo', 'Miranda', 'Rodriguez', TO_DATE('1987-10-16', 'YYYY-MM-DD'),19, 'DEFENSA','4');
INSERT INTO jugador VALUES(10111, 'Irvin', 'Peluffo', 'Pena', TO_DATE('1994-10-26', 'YYYY-MM-DD'),20, 'PORTERO','4');
INSERT INTO jugador VALUES(10112, 'Milos', 'Caula', 'Martinez', TO_DATE('1993-2-11', 'YYYY-MM-DD'),21, 'PORTERO','4');
INSERT INTO jugador VALUES(10113, 'Gael', 'Tapari', 'Alonso', TO_DATE('1983-6-25', 'YYYY-MM-DD'),22, 'MEDIOCAMPISTA','4');
INSERT INTO jugador VALUES(10114, 'Acfred', 'Casullo', 'Silva', TO_DATE('1993-5-7', 'YYYY-MM-DD'),23, 'DELANTERO','4');
INSERT INTO jugador VALUES(10115, 'Ricardo', 'Perez', 'Oujo', TO_DATE('1994-8-23', 'YYYY-MM-DD'),1, 'PORTERO','5');
INSERT INTO jugador VALUES(10116, 'Roland', 'Navajas', 'Silva', TO_DATE('1995-6-21', 'YYYY-MM-DD'),2, 'DEFENSA','5');
INSERT INTO jugador VALUES(10117, 'Otto', 'Beherens', 'Ojeda', TO_DATE('1987-7-20', 'YYYY-MM-DD'),3, 'DEFENSA','5');
INSERT INTO jugador VALUES(10118, 'Otto', 'Valente', 'Juri', TO_DATE('1995-7-2', 'YYYY-MM-DD'),4, 'DEFENSA','5');
INSERT INTO jugador VALUES(10119, 'Guim', 'Varela', 'De nardo', TO_DATE('1986-10-11', 'YYYY-MM-DD'),5, 'DEFENSA','5');
INSERT INTO jugador VALUES(10120, 'Alain', 'Vitale', 'Nicola', TO_DATE('1983-11-3', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','5');
INSERT INTO jugador VALUES(10121, 'Gabriel', 'Foliadoso', 'Fernandez', TO_DATE('1988-5-11', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','5');
INSERT INTO jugador VALUES(10122, 'Guido', 'Duarte', 'Michelini', TO_DATE('1996-9-27', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','5');
INSERT INTO jugador VALUES(10123, 'Omar', 'Fieguth', 'Bonilla', TO_DATE('1986-12-8', 'YYYY-MM-DD'),9, 'DELANTERO','5');
INSERT INTO jugador VALUES(10124, 'Aarón', 'Coletto', 'Camp', TO_DATE('1990-8-1', 'YYYY-MM-DD'),10, 'DELANTERO','5');
INSERT INTO jugador VALUES(10125, 'Dylan', 'Lema', 'Gioia', TO_DATE('1996-3-16', 'YYYY-MM-DD'),11, 'DELANTERO','5');
INSERT INTO jugador VALUES(10126, 'Ángel', 'Ferreira', 'Vazquez', TO_DATE('1985-12-17', 'YYYY-MM-DD'),12, 'DEFENSA','5');
INSERT INTO jugador VALUES(10127, 'Noel', 'Martinez', 'Badano', TO_DATE('1991-12-10', 'YYYY-MM-DD'),13, 'PORTERO','5');
INSERT INTO jugador VALUES(10128, 'Brandon', 'Cafferata', 'Montaner', TO_DATE('1996-6-2', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','5');
INSERT INTO jugador VALUES(10129, 'Bastian', 'Franco', 'Gutierrez', TO_DATE('1996-10-18', 'YYYY-MM-DD'),15, 'PORTERO','5');
INSERT INTO jugador VALUES(10130, 'Aitor', 'Cornes', 'Ottieri', TO_DATE('1989-1-22', 'YYYY-MM-DD'),16, 'DEFENSA','5');
INSERT INTO jugador VALUES(10131, 'Sebastián', 'Areosa', 'Sucunza', TO_DATE('1991-10-13', 'YYYY-MM-DD'),17, 'MEDIOCAMPISTA','5');
INSERT INTO jugador VALUES(10132, 'Joel', 'Arias', 'Sastre', TO_DATE('1993-10-19', 'YYYY-MM-DD'),18, 'MEDIOCAMPISTA','5');
INSERT INTO jugador VALUES(10133, 'Brandon', 'Perez', 'Dini', TO_DATE('1993-6-22', 'YYYY-MM-DD'),19, 'DELANTERO','5');
INSERT INTO jugador VALUES(10134, 'Acfred', 'Diaz', 'Uberti', TO_DATE('1995-4-14', 'YYYY-MM-DD'),20, 'MEDIOCAMPISTA','5');
INSERT INTO jugador VALUES(10135, 'Kenay', 'Tusso', 'Polla', TO_DATE('1997-4-1', 'YYYY-MM-DD'),21, 'DELANTERO','5');
INSERT INTO jugador VALUES(10136, 'Cristian', 'Daguerre', 'Negrein', TO_DATE('1983-11-27', 'YYYY-MM-DD'),22, 'MEDIOCAMPISTA','5');
INSERT INTO jugador VALUES(10137, 'Iol', 'Armesto', 'Da costa', TO_DATE('1994-5-12', 'YYYY-MM-DD'),23, 'DEFENSA','5');
INSERT INTO jugador VALUES(10138, 'Omar', 'Redin', 'Fraga', TO_DATE('1986-4-22', 'YYYY-MM-DD'),1, 'PORTERO','6');
INSERT INTO jugador VALUES(10139, 'Jerald', 'Guaraglia', 'Puente', TO_DATE('1996-6-21', 'YYYY-MM-DD'),2, 'DEFENSA','6');
INSERT INTO jugador VALUES(10140, 'Diego', 'Volpi', 'Rijo', TO_DATE('1988-8-11', 'YYYY-MM-DD'),3, 'DEFENSA','6');
INSERT INTO jugador VALUES(10141, 'Irvin', 'Martinez', 'Sanchez', TO_DATE('1996-3-7', 'YYYY-MM-DD'),4, 'DEFENSA','6');
INSERT INTO jugador VALUES(10142, 'Miguel', 'Preti', 'Gette', TO_DATE('1988-4-22', 'YYYY-MM-DD'),5, 'DEFENSA','6');
INSERT INTO jugador VALUES(10143, 'Guido', 'Lamas', 'Bonilla', TO_DATE('1988-6-27', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','6');
INSERT INTO jugador VALUES(10144, 'Mario', 'Murtagh', 'Prospero', TO_DATE('1997-1-12', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','6');
INSERT INTO jugador VALUES(10145, 'Thiago', 'Di maggio', 'Farias', TO_DATE('1985-9-7', 'YYYY-MM-DD'),8, 'MEDIOCAMPISTA','6');
INSERT INTO jugador VALUES(10146, 'Andry', 'Feijo', 'Silva', TO_DATE('1987-2-21', 'YYYY-MM-DD'),9, 'DELANTERO','6');
INSERT INTO jugador VALUES(10147, 'Saúl', 'Carve', 'Etcheverry', TO_DATE('1997-7-12', 'YYYY-MM-DD'),10, 'DELANTERO','6');
INSERT INTO jugador VALUES(10148, 'Yael', 'Pelufo', 'Obregon', TO_DATE('1996-2-28', 'YYYY-MM-DD'),11, 'DELANTERO','6');
INSERT INTO jugador VALUES(10149, 'Joel', 'Zirollo', 'Franchi', TO_DATE('1985-11-9', 'YYYY-MM-DD'),12, 'PORTERO','6');
INSERT INTO jugador VALUES(10150, 'Yannick', 'Jaureguizar', 'Cafferata', TO_DATE('1987-3-10', 'YYYY-MM-DD'),13, 'PORTERO','6');
INSERT INTO jugador VALUES(10151, 'Aarón', 'Porro', 'Machado', TO_DATE('1993-3-25', 'YYYY-MM-DD'),14, 'MEDIOCAMPISTA','6');
INSERT INTO jugador VALUES(10152, 'Yannick', 'Rubilar', 'Gallo', TO_DATE('1996-6-18', 'YYYY-MM-DD'),15, 'DELANTERO','6');
INSERT INTO jugador VALUES(10153, 'Leonardo', 'Cuenca', 'Massons', TO_DATE('1997-12-8', 'YYYY-MM-DD'),16, 'DEFENSA','6');
INSERT INTO jugador VALUES(10154, 'Yordani', 'Martinez', 'Marquez', TO_DATE('1984-11-6', 'YYYY-MM-DD'),17, 'DELANTERO','6');
INSERT INTO jugador VALUES(10155, 'Andry', 'Chiappa', 'Calvo', TO_DATE('1987-12-23', 'YYYY-MM-DD'),18, 'MEDIOCAMPISTA','6');
INSERT INTO jugador VALUES(10156, 'Joel', 'Lasso', 'Rodriguez', TO_DATE('1990-9-26', 'YYYY-MM-DD'),19, 'MEDIOCAMPISTA','6');
INSERT INTO jugador VALUES(10157, 'Areu', 'Martinez', 'Brum', TO_DATE('1991-9-1', 'YYYY-MM-DD'),20, 'PORTERO','6');
INSERT INTO jugador VALUES(10158, 'Ízan', 'Villarreal', 'Pastorino', TO_DATE('1989-1-25', 'YYYY-MM-DD'),21, 'DEFENSA','6');
INSERT INTO jugador VALUES(10159, 'Guido', 'Gusta', 'Sarubbi', TO_DATE('1987-1-10', 'YYYY-MM-DD'),22, 'DEFENSA','6');
INSERT INTO jugador VALUES(10160, 'Fabricio', 'Gordillo', 'Fraga', TO_DATE('1990-8-25', 'YYYY-MM-DD'),23, 'DEFENSA','6');
INSERT INTO jugador VALUES(10161, 'Mateo', 'Pazos', 'Medina', TO_DATE('1985-10-19', 'YYYY-MM-DD'),1, 'PORTERO','7');
INSERT INTO jugador VALUES(10162, 'Sebastián', 'Sencion', 'Nunes', TO_DATE('1995-1-22', 'YYYY-MM-DD'),2, 'DEFENSA','7');
INSERT INTO jugador VALUES(10163, 'Leonardo', 'Lotito', 'Sosa', TO_DATE('1983-3-7', 'YYYY-MM-DD'),3, 'DEFENSA','7');
INSERT INTO jugador VALUES(10164, 'Zigor', 'Prospero', 'Cabrera', TO_DATE('1984-10-19', 'YYYY-MM-DD'),4, 'DEFENSA','7');
INSERT INTO jugador VALUES(10165, 'Guim', 'Rusiñol', 'Diaz', TO_DATE('1994-9-27', 'YYYY-MM-DD'),5, 'DEFENSA','7');
INSERT INTO jugador VALUES(10166, 'Emiliano', 'Ferrando', 'Gravier', TO_DATE('1993-7-17', 'YYYY-MM-DD'),6, 'MEDIOCAMPISTA','7');
INSERT INTO jugador VALUES(10167, 'Brais', 'Fernandez', 'Asole', TO_DATE('1992-12-15', 'YYYY-MM-DD'),7, 'MEDIOCAMPISTA','7');
